moderator (09:24:32 AM):  link
lynn (11:00:03 AM):  i'd agree to take him off, too
lynn (11:00:23 AM):  i would take off the apple guys, too
macy (11:00:34 AM):  ohh i would want them to stay
macy (11:00:37 AM):  :)
macy (11:01:07 AM):  i like the idea of keeping them on there becuase.....
macy (11:01:27 AM):  i think google has changed so much about our culture and social ways-
jake (11:01:46 AM):  ya
lynn (11:01:47 AM):  sorry, i was talking about jobs and apple
lynn (11:01:52 AM):  not the page and brin guys
lynn (11:02:13 AM):  google is more significant to me than apple
jake (11:02:15 AM):  i think between apple and google, id lean to taking jobs off
melany (11:02:23 AM):  i agree
jake (11:02:41 AM):  okay
macy (11:02:41 AM):  agreed
jake (11:02:46 AM):  so apple is out
jake (11:03:00 AM):  anyone else we want to eliminate
melany (11:03:26 AM):  so its between google, bush,. and osama?
jake (11:03:30 AM):  yes
lynn (11:03:50 AM):  between those three, i would take off google
macy (11:03:57 AM):  the way we have google there (the two guys) makes me think that maybe osama bin should really stay on that list- or al queda
melany (11:05:00 AM):  hmmm
macy (11:05:27 AM):  any thoughts?
melany (11:05:30 AM):  i guess id take off google
jake (11:05:46 AM):  ya - i think osama is better than google
macy (11:05:58 AM):  agreed
melany (11:06:00 AM):  because it may not have affected those that did not use computers
jake (11:06:04 AM):  truuuu
lynn (11:06:11 AM):  osama and bush affected even how we board planes nowadays
macy (11:06:12 AM):  nice point melany
lynn (11:06:21 AM):  right, melany
jake (11:06:24 AM):  so osama and bush
macy (11:06:48 AM):  out of them i would have to go with osama...unfortunately
lynn (11:07:06 AM):  i would have to agree, although it was bush who reacted
jake (11:07:14 AM):  hmm, this is a tough one
lynn (11:07:17 AM):  and caused a lot of the polarization
macy (11:07:38 AM):  without the ways of some people in this world, out country would not feel so threatened
lynn (11:07:46 AM):  morally, i don't want to give it to osama
melany (11:08:02 AM):  haha i agree lynn
macy (11:08:10 AM):  and the some people, meaing those who want to bring the usa down in the sense of safety, etc
lynn (11:08:14 AM):  because that's what he wanted is to be the most influential and have people listen to him through these means
jake (11:08:17 AM):  unfortunately, his effect on this nation and to the world will be felt for years to come
melany (11:08:24 AM):  yes
lynn (11:08:46 AM):  but if the US had done nothing, or had taken a different course of action, the world could have been a very different palce
macy (11:08:47 AM):  lynn, i am struggling with that also- not wanting to give him this name of most infliuential
lynn (11:09:14 AM):  this is a tough one
jake (11:09:30 AM):  well, its sad but tru
jake (11:09:50 AM):  he is the most influential, tho negative, to how our society and the world will be
melany (11:10:02 AM):  i agree with jake
macy (11:10:14 AM):  looking at the handout again- osama hits all critera right on the head
melany (11:10:22 AM):  yea he really does
macy (11:10:27 AM):  booo
jake (11:10:34 AM):  it has def mmade our lives for the worse
lynn (11:10:43 AM):  but who's had more cartoons written about him around the world? who's had a shoe thrown at him?
lynn (11:10:51 AM):  because of how he reacted
macy (11:11:06 AM):  and i think prez obama will be able to change our attitudes over this current decade! (wishful thinking of course)
lynn (11:11:20 AM):  let's hope so
jake (11:11:36 AM):  so, do we agree that osama is our top choice without nominations yet?
melany (11:11:48 AM):  yes
jake (11:11:50 AM):  ok
macy (11:11:51 AM):  yeah
lynn (11:11:52 AM):  let me read the criteria again
lynn (11:11:58 AM):  sorry.....
lynn (11:11:59 AM):  one sec
macy (11:12:04 AM):  that's alright
lynn (11:13:06 AM):  geez, contributions to the field? field of terrorism?
lynn (11:13:08 AM):  yikes
jake (11:13:11 AM):  hahahha
lynn (11:13:16 AM):  i would have to agree, unfortunately
melany (11:13:34 AM):  hahha
melany (11:13:37 AM):  yea sad but true
macy (11:13:55 AM):  yeah
jake (11:14:35 AM):  so any nominations?
lynn (11:14:39 AM):  i'm torn between nominating al-qaeda
jake (11:14:40 AM):  we have 15 minutes
lynn (11:14:43 AM):  if we can do that
lynn (11:14:47 AM):  rather than osama
lynn (11:14:51 AM):  somebody else suggested that too
macy (11:15:03 AM):  "either from this list or you may pick someone not mentioned here."
lynn (11:15:04 AM):  he really did what he did in their name
macy (11:15:19 AM):  what lynn?
lynn (11:15:32 AM):  osama, he carried out his acts in the name of al-qaeda
macy (11:15:38 AM):  ah- agreed
lynn (11:15:41 AM):  well, of islam also
macy (11:16:18 AM):  i cant think of anyone to nominate
melany (11:16:28 AM):  me either
jake (11:16:29 AM):  so do we want al-q instead of osama?
macy (11:16:33 AM):  can anything think of some houselhold names?
lynn (11:16:50 AM):  no, anybody else just seems trite after osama bin laden
jake (11:16:56 AM):  ok
lynn (11:17:08 AM):  unless people have any thoughts about al-qaeda
jake (11:17:16 AM):  so osama is our choice ladies?
macy (11:17:22 AM):  yes
melany (11:17:22 AM):  i think so
melany (11:17:24 AM):  yes
jake (11:17:32 AM):  sadly but yes
macy (11:17:55 AM):  at least we had it all thought out
macy (11:18:03 AM):  we tried considering all the others
jake (11:18:08 AM):  ya
lynn (11:18:40 AM):  well, ok, i guess we didn't really ever consider lady gaga :)
macy (11:18:48 AM):  hahaha
melany (11:18:55 AM):  yeah she was clearly a NO
macy (11:18:56 AM):  or tiger
macy (11:18:59 AM):  lol
melany (11:19:00 AM):  ugh
melany (11:19:02 AM):  what a disgrace
lynn (11:19:06 AM):  really
macy (11:19:24 AM):  i'm surprised no one mentioned michael jackson
lynn (11:19:33 AM):  oh yeah, that would have been interesting to discuss
macy (11:19:36 AM):  his name pops up a lot
lynn (11:19:45 AM):  though i guess he was more in the 90s
macy (11:19:51 AM):  yeah
melany (11:19:53 AM):  oh yeaaa
lynn (11:20:05 AM):  or the founder of twitter
macy (11:20:17 AM):  maybe the jonas brothers for 2000-2010 lol
jake (11:20:20 AM):  hahahah
jake (11:20:24 AM):  jonas brothersss
jake (11:20:26 AM):  miley cyrusss
macy (11:20:35 AM):  facebook inventor
jake (11:20:40 AM):  yaaaa
jake (11:20:43 AM):  facebook
lynn (11:20:47 AM):  that would have been a great one
melany (11:20:50 AM):  oh wow fb inventor
macy (11:20:56 AM):  i think google is much bigger than fb though honestly
melany (11:20:57 AM):  thats a good one
melany (11:20:59 AM):  oh yes
lynn (11:21:02 AM):  i prob still would have voted for osama though
melany (11:21:02 AM):  more used
macy (11:21:09 AM):  yeah lynn
jake (11:21:13 AM):  ya coz not everyone has facebook
macy (11:21:17 AM):  right
lynn (11:21:17 AM):  right
melany (11:22:11 AM):  yes of course
lynn (11:22:52 AM):  i just saw lady gaga's video for the first time ever last night
lynn (11:23:00 AM):  "telephone", i think it was
jake (11:23:02 AM):  yaa
jake (11:23:04 AM):  with beyonce
macy (11:23:05 AM):  a video? whats that
macy (11:23:07 AM):  lol
lynn (11:23:10 AM):  haha
macy (11:23:16 AM):  how was it?
lynn (11:23:27 AM):  she's pretty outrageous
jake (11:23:31 AM):  shes def very creative and a genius. she purposely dresses crazy coz it attacts media attentioon
lynn (11:23:34 AM):  but i can see how she is compared to madonna
jake (11:23:36 AM):  and she gets money for it
macy (11:23:56 AM):  i dont know her at all- i saw madonne on the marriage ref show the other day though
lynn (11:24:12 AM):  how was it?
macy (11:24:25 AM):  she was pretty funny
melany (11:24:29 AM):  i heard its amazing haha
macy (11:24:37 AM):  but the show is pretty bad for a show
lynn (11:25:24 AM):  haven't ever seen it
melany (11:25:38 AM):  shes just bizarre
melany (11:25:48 AM):  but is extremely successful at creating hit songs
lynn (11:25:52 AM):  yes
jake (11:26:31 AM):  i wonder if she writes her songs tho - or has a ghost writer
melany (11:26:40 AM):  yeah im unsure of that
lynn (11:27:01 AM):  i think she's written a few of her own
lynn (11:27:14 AM):  but not her big ones, ,like "Like a Virgin", etc...
macy (11:27:33 AM):  i hope she wrote the older ones which were hits- hadnt thought of that
melany (11:27:33 AM):  it's been nice chatting with you all during this experience :)
lynn (11:27:45 AM):  you too, melany
macy (11:28:00 AM):  you too
lynn (11:28:07 AM):  maybe we'll all meet each other in a face-to-face chat someday
macy (11:28:35 AM):  take care everyone
moderator (11:28:56 AM):  hey guys, just want to remind you to fill out the survey when you leave.
lynn (11:28:59 AM):  g'bye
jake (11:29:16 AM):  okay
moderator (11:29:18 AM):  link
jake (11:29:23 AM):  so we chose obama
jake (11:29:26 AM):  right ladies
lynn (11:29:33 AM):  osama!
melany (11:29:40 AM):  bye everyone! yes, osama
moderator (11:29:43 AM):  thank you all, I will send out a closing email tomorrow!
jake (11:29:53 AM):  k thank you
