nick (7:59:30 PM):  hello
mara (8:44:47 PM):  true... my younger cousin has her birthdate minus the year on her facebook and myspace page!  which is decieving
michelle (8:44:52 PM):  yong people are more addictive and make more friends from the virtual world
jordan (8:45:06 PM):  true.
jordan (8:45:26 PM):  at the cost of their eyes, necks backs , everything
john (8:45:28 PM):  yes it has good aspect for yong people
amy (8:45:40 PM):  younger people are defintely growing up in this age where it is more the NORM to share personal info
michelle (8:45:53 PM):  agree
john (8:46:00 PM):  sure
george (8:46:08 PM):  a/s/l
nick (8:46:22 PM):  yes, people have been fired for using Facebook while at home when they were supposed to be sick... i just read an article
michelle (8:46:23 PM):  george, meaning?
jordan (8:46:26 PM):  what's that? a/s/l
michelle (8:46:39 PM):  interesting...nick
mara (8:46:41 PM):  haha michelle, jordan! haha
mara (8:46:57 PM):  how do you not know this... haha thats what all the people used to say back in the day
george (8:46:58 PM):  age/sex/location...it's a cliche'd internet lingo for meeting people
amy (8:46:58 PM):  nick, good point.   why is it that they dont only allowe certain people to see their info-   the privacy settings deal
jordan (8:46:59 PM):  don't understand
michelle (8:47:00 PM):  did I miss something
mara (8:47:03 PM):  22/f/albany
michelle (8:47:25 PM):  thanks,mara and george...see, age plays
john (8:47:28 PM):  interesting
jordan (8:47:36 PM):  see.
mara (8:47:46 PM):  amy, because my mother pays for my education and i dont want her to see the pics of me partying 5 days a week haha
george (8:47:59 PM):  haha mara knows what's up
amy (8:48:03 PM):  no, i meant that guy got fired over his facebook page.....
jordan (8:48:14 PM):  do people use "gender" more than "sex" when refering to their m/f?
mara (8:48:18 PM):  shit happens
john (8:48:20 PM):  hah
amy (8:48:26 PM):  if thats true, then why didnt he have his privacy settings set so his employer knew he was playing hooky?
nick (8:48:28 PM):  yes, that woman who was fired should have kept her profile private.. although the article also mentioned that the employer may have created a fake persona who became her friend to check on her....
mara (8:48:39 PM):  no... sex is between the legs gender is int he head
amy (8:48:52 PM):  why did she add a "fake person" then?
george (8:48:57 PM):  that's a complicated question, jordan...
jordan (8:49:00 PM):  mara is a genius
mara (8:49:21 PM):  haha... im a feminist!
mara (8:49:24 PM):  what can i say...
mara (8:49:26 PM):  :D
jordan (8:49:39 PM):  all feminists are giniuses.
john (8:49:41 PM):  hehe
michelle (8:49:41 PM):  Is online ads cheaper than newspaper ads?
nick (8:49:57 PM):  Here's an article about the firing: link
george (8:50:03 PM):  yea but the internet changes what's in the head!
nick (8:50:10 PM):  "Swiss Woman Fired for Using Facebook While Sick"
mara (8:50:22 PM):  changes it?
michelle (8:50:34 PM):  I think it is illegal to fire a person that way,
jordan (8:50:43 PM):  somebody was filling out a form. when coming to "sex", he puts in twice a week. so i suppuse "gender" could be better
nick (8:50:51 PM):  Actually, the BBC article is here link
mara (8:50:53 PM):  they claim to be so michelle... my friend has like 6 websites and they dont seem to cost him too much
amy (8:51:02 PM):  nick, that article is ridiculous
george (8:51:18 PM):  she sounds like she's making an excuse for not working
john (8:51:20 PM):  yes michelle
amy (8:51:41 PM):  you can go online while sick...but to work and deal with stress at work is another thing
mara (8:51:44 PM):  really... she was prolly at home in bed bored and sick so wanted to chat with someone
george (8:52:01 PM):  just put down the iphone and sleep!
mara (8:52:02 PM):  that is not grounds for firing... she must have been a bad employee not one WE WOULD INTERVIEW haha
amy (8:52:14 PM):  and plus-  you can call in sich if you have sick days-  unless she called in sick 1x per week or something strange like that
nick (8:52:20 PM):  ha ha
amy (8:52:26 PM):  hahaha mara  we would know her type!
mara (8:52:41 PM):  totally... we rock!
george (8:52:47 PM):  it also sounds like the employer was looking for an excuse to get rid of her
jordan (8:53:03 PM):  with you
john (8:53:09 PM):  yes it is important
amy (8:53:12 PM):  i think sharing one's whole life with so many people is strange and like why does everyone need/want to know anyway
george (8:53:13 PM):  so maybe that was strike 3
mara (8:53:47 PM):  yeah i feel like that article is one example for how the media skews things
michelle (8:53:49 PM):  smart george
amy (8:53:57 PM):  media schmedia
nick (8:54:14 PM):  i agree that they were probably looking for an excuse to fire her
nick (8:54:28 PM):  why else use the fake friend to spy?
amy (8:54:45 PM):  i still dont get the fake friend bit
amy (8:54:56 PM):  how did her employer see her page
michelle (8:55:08 PM):  they may be friends
michelle (8:55:14 PM):  before he fired her
mara (8:55:19 PM):  he made a fake profile im guessing and became friends with her so it gave him access
amy (8:55:21 PM):  my supervisor asked me to friend her-  i ignored the request
jordan (8:55:23 PM):  "friend"
george (8:55:28 PM):  uh oh..."oh wait, can you delete wall posts?"  if this is one of her messages, that sounds like she was trying to cover her tracks!
nick (8:55:39 PM):  don't friend your boss!!
amy (8:55:39 PM):  but why would she accept a request from someone she doesnt know
george (8:55:41 PM):  *puts on sherlock holmes hat*
jordan (8:55:47 PM):  Need be careful when you friend aomebody
michelle (8:55:48 PM):  you made a wise decision, amy
mara (8:55:50 PM):  oh how about that cop that made a fake myspace that he was 15 yr old boy and got teenage girls to invite him over.//
jordan (8:56:15 PM):  how can i know heis my boss? what if he has a fake name?
mara (8:56:16 PM):  when he showed up as a 50 yr old cop... those girls got taught a lesson!
amy (8:56:16 PM):  woah scary stuff
michelle (8:56:33 PM):  I rejected tons of requests to my MSN,.....
amy (8:56:40 PM):  would you add someone as a friend if it was a name you did not know????
michelle (8:56:50 PM):  no
jordan (8:56:56 PM):  i usually don't
michelle (8:57:03 PM):  even I know the name, I won't...maybe it is someone else
nick (8:57:11 PM):  only if they are a friend of a friend
george (8:57:16 PM):  maybe...if the avatar was a beautiful woman
john (8:57:17 PM):  i agree with amy
michelle (8:57:36 PM):  poor george....
mara (8:57:52 PM):  i would message them and see how they knew me or something before just adding them
amy (8:58:16 PM):  well like someone said before-  its about connecting on a different level
john (8:58:16 PM):  i just add person who i familiar with
amy (8:58:29 PM):  some people are comfortable with sharing info, and others are not
george (8:58:29 PM):  but to be honest i don't use much internet stuff...no facebook, myspace, msn, aol, etc
amy (8:58:37 PM):  young people dont seem to mind sharing
john (8:58:49 PM):  sure
mara (8:58:55 PM):  nick, what if your friend that is friends with them isnt really friends with them but just added them as an unknown friend?
amy (8:58:55 PM):  what about shopping online george?
nick (8:59:04 PM):  yeah, that's a problem...
george (8:59:07 PM):  i got enough going on irl to not really desire internet friendships
jordan (8:59:10 PM):  some poeple share all their info
amy (8:59:12 PM):  hahahahha  mara
john (8:59:17 PM):  yes,
george (8:59:25 PM):  only exception is when i play an online game for an extended period of time
nick (8:59:28 PM):  george is a Casanova!
mara (8:59:39 PM):  spades?
michelle (8:59:48 PM):  jordan, how do you verify those information
george (8:59:51 PM):  sure, i sometimes buy stuff online amy, but i don't have a bunch of online friends to help me!
mara (8:59:55 PM):  so nick... you should be more mindful haha j/k
jordan (9:00:14 PM):  they have photos,
george (9:00:15 PM):  hehe nick ;0
mara (9:00:35 PM):  i ALWAYS buy stuff online
john (9:00:35 PM):  general i don't put most of my information on line
nick (9:00:36 PM):  a total stranger, i would be more careful, tho
jordan (9:00:42 PM):  of course photos can be fakes
mara (9:00:45 PM):  havent had a problem yet... knock on wood
mara (9:00:49 PM):  but my mother did once
amy (9:01:00 PM):  i worry about my info being out there sometimes
amy (9:01:10 PM):  like acct numbers, etc
mara (9:01:11 PM):  ever googled yourself?
john (9:01:12 PM):  maybe
mara (9:01:16 PM):  maybe we should all try it right now!?
jordan (9:01:18 PM):  it already is out
john (9:01:45 PM):  agree with mara
jordan (9:01:53 PM):  google, and u gets almost everything about a person.
george (9:01:55 PM):  how about twitter...people let the world know they are picking their nose or eating pudding
amy (9:01:55 PM):  it is out there- in my class we learned a little how health companies may want access to our info that is out there in regards to offering coverage
michelle (9:01:59 PM):  I worried my online shopping accounts long time ago. but now I enjoy online shopping so much so I just take it easy
mara (9:02:25 PM):  i dont get anything about me but my facebook page and you can only add me as a friend and see my pic... no info or anyhing else
nick (9:02:30 PM):  george, I can't stand Twitter
george (9:02:47 PM):  you want a good people search, i had a good one...hold on a sec
jordan (9:02:48 PM):  what's Twitter?
mara (9:02:51 PM):  "picking my nose" ahah
john (9:02:53 PM):  good mara
mara (9:03:09 PM):  yes GREAT!
george (9:03:12 PM):  link
george (9:03:23 PM):  check that search out...i think you'll be impressed
amy (9:03:35 PM):  Twitter is a service for friends, family, and co–workers to communicate and stay connected through the exchange of quick, frequent answers to one simple question: What are you doing?
jordan (9:03:42 PM):  what's Twitter again?
mara (9:03:43 PM):  oh wait i just found a newspaper article where my name was mentioned when my parents published an article for their 25th wedding anniversary
amy (9:03:44 PM):  that is from their website
george (9:03:51 PM):  you can find addresses and phone #s of even previous locations and sometimes a picture of the front door!
jordan (9:04:05 PM):  thanks amy
nick (9:04:51 PM):  Twitter is an online texting service - you can only send abotu 140 characters - it gets posted to a website
amy (9:04:56 PM):  wow-  zabasearch sure does delve out the info
nick (9:04:58 PM):  it's incredibly annoying
jordan (9:05:07 PM):  seems i'm still foreign er to the internet.
mara (9:05:08 PM):  OMG that website is the shit haha
mara (9:05:26 PM):  it gave me the exact location of my roommate this is freaky! how do you get that shit taken off haha
john (9:05:31 PM):  hah mara
michelle (9:05:37 PM):  I did not use twitter before
nick (9:05:50 PM):  zabasearch?
jordan (9:05:52 PM):  maybe I'll try it later on
amy (9:05:55 PM):  i wonder if people can get that stuff taken offline
john (9:06:00 PM):  it's interesting
george (9:06:14 PM):  lol you like that mara?
amy (9:06:19 PM):  like i bet their will be information policies someday bc so much personal info is out there for anyone (not just the hackers anymore)
george (9:06:34 PM):  try to find a pic of their front door
nick (9:06:38 PM):  yikes that's scary
michelle (9:07:09 PM):  do you think it is necessary to have a law or policy to protect people in internet or virtual world? and how?
nick (9:07:10 PM):  luckily they only have my old ones, not the current info!
john (9:07:15 PM):  front door
michelle (9:07:33 PM):  the screen is flashing...sometimes, noticed that?
mara (9:08:03 PM):  i love it george
amy (9:08:06 PM):  michelle, i think that is on the way...laws and policies are being developed
john (9:08:28 PM):  i think it is necessary
michelle (9:08:31 PM):  how can we know, amy?
nick (9:08:35 PM):  michelle - yes my screen flashes too - it's annoying
amy (9:08:36 PM):  its jsut that the internet is still so new and with all the new technology out there...it is easier for crimes to happen...so laws are definitely coming somehow
john (9:08:44 PM):  yes it does i noticed
jordan (9:08:47 PM):  we do have internet police, don't we?
mara (9:09:03 PM):  sorry im just searching like everyone i know right now haha
nick (9:09:05 PM):  I think it's refreshing the screen
mara (9:09:24 PM):  i think its when we are all pushing enter at the same time
amy (9:09:32 PM):  obama just came out with something having to do with copyright violation on the internet
john (9:09:37 PM):  hah  it a useful website
george (9:09:38 PM):  i think internet police are busy tracking down child porn and drug trading
amy (9:09:45 PM):  he is on the side of the industry and not the consumer
jordan (9:10:12 PM):  really amy
jordan (9:10:20 PM):  ?
george (9:10:21 PM):  imo copyrights should expire in 3 years and not be renewable
michelle (9:10:24 PM):  seen the old movie " the net" I still feel scared of the internet crime after I saw it several days ago from HBO
amy (9:10:27 PM):  so much of our info is recorded online, and people have such easy means of obtaining it....things will need to change over time
john (9:10:27 PM):  i agree
george (9:10:43 PM):  i don't believe in leaking wolverine a month before release, but after 3 years it should be open source
jordan (9:10:43 PM):  3 months is better, george
michelle (9:10:51 PM):  my eyes are really hurting....the flashing screen
amy (9:11:11 PM):  yeah jordan-  there are now real fines affiliated with downloading music illegally-  like between $100 and thousands per song
george (9:11:12 PM):  i could live with 3 months :P
jordan (9:12:19 PM):  those people make a lot money bc copyright
john (9:12:21 PM):  the screen is little bit better i think
jordan (9:12:38 PM):  you have to pay a lot just to listen to a song
amy (9:12:38 PM):  still flashing for me everyime someone writes
john (9:12:48 PM):  sure copyright is not a good thing
john (9:13:06 PM):  yes me too
nick (9:13:10 PM):  everyt time someone writes, the screen reloads completely....
george (9:13:11 PM):  i can see the flashing, too
jordan (9:13:30 PM):  flashing? i don't see
nick (9:13:41 PM):  it should be scrolling up
amy (9:13:45 PM):  well the screen goes white-  thats what i mean by flashing
john (9:13:49 PM):  just when someone writing
jordan (9:13:50 PM):  u mean the lines going up and down all the time?
michelle (9:14:09 PM):  wihte again, then flashing
mara (9:14:11 PM):  george...how did you find out about this website
jordan (9:14:18 PM):  it IS strange. nothing of this last night.
john (9:14:25 PM):  no jordan it is flashing
jordan (9:14:41 PM):  i don't see flashing.
george (9:14:41 PM):  geez...i can't remember it was a while ago
george (9:15:01 PM):  i was trying different searches trying to track down some people i lost track of
nick (9:15:17 PM):  I am going to try logging out
mara (9:15:21 PM):  no way, i dont trust you... haha i prolly wont be able to get back on then! j/k
john (9:15:42 PM):  me too
jordan (9:15:45 PM):  for me, the written lines move up and down all the time. hurts the eyes
george (9:15:56 PM):  yay flash-less screen FTW
amy (9:16:07 PM):  i logged out and came back-  its better   :)
jordan (9:16:07 PM):  no flashing
mara (9:16:14 PM):  its always done that to me.. no biggie
john (9:16:45 PM):  hi
nick (9:16:52 PM):  hello again?
michelle (9:16:55 PM):  hi
michelle (9:17:09 PM):  where are we now?
amy (9:17:14 PM):  hello
nick (9:17:32 PM):  yes, what is the topic again??? :)
john (9:17:39 PM):  it is ok, right
jordan (9:17:43 PM):  strange, where r u?
michelle (9:17:51 PM):  policy for internet?
mara (9:17:52 PM):  ok so i wanted to ask you guys if you heard anything about the lastest "sexting"
mara (9:17:53 PM):  ?
amy (9:18:06 PM):  yes i did-  crazy
john (9:18:07 PM):  yes
michelle (9:18:08 PM):  ?
jordan (9:18:09 PM):  seems all suddenly vanished.
george (9:18:15 PM):  hihi
nick (9:18:18 PM):  yes
amy (9:18:37 PM):  jordan the names disappear momentrily when someone logs in
mara (9:18:38 PM):  i was asking if you guys hear about the latest news on "sexting"?
mara (9:18:50 PM):  its all over the news right now
michelle (9:19:08 PM):  i did not
michelle (9:19:23 PM):  tell me mara
george (9:19:26 PM):  i have!
nick (9:19:37 PM):  *slaps george again*
george (9:19:38 PM):  haven't had the pleasure of trying that myself tho!
jordan (9:19:41 PM):  I'll try to login again.
john (9:19:50 PM):  so many such news
mara (9:20:06 PM):  well they say that people are using text messages as a way of sexually pursuing people now
john (9:20:18 PM):  haha george
mara (9:20:19 PM):  sending videos and pics... and "booty texts" hah
michelle (9:20:20 PM):  really?
amy (9:20:26 PM):  so parents dont know what they are talking about
michelle (9:20:35 PM):  euh..
amy (9:20:52 PM):  a radio station listed a bunch of the terms online so that parents could learn the "language"
john (9:20:53 PM):  so....
nick (9:20:57 PM):  actually, it's been teens sending pictures to each other - i think charging them with crimes is ridiculous
jordan (9:21:06 PM):  i can't see
george (9:21:08 PM):  *dodges nimbly*
john (9:21:16 PM):  yes it is online language
nick (9:21:29 PM):  some teens have been charged with sending pornography - when it's pictures of themselves!
jordan (9:21:52 PM):  what r u talking about? i was out a while and you have changed the topic
mara (9:21:52 PM):  yeah its kinds of like ebonics to standard english speakers... but i like how it involves the technology its sort of like cheating by texting will soon be grounds for divorce just like internet infidelity haha
