ariel (09:59:40 AM):  god its early
melany (10:22:45 AM):  yeah he seems more socially oriented than Jade
judith (10:22:48 AM):  its good hes a comm major too
ariel (10:22:51 AM):  and to teach them how to swim
melany (10:22:54 AM):  lifegaurding is clearly about helping people
judith (10:22:55 AM):  and marketing is a pretty creative field as well
ariel (10:22:58 AM):  yeah i agree
luke (10:23:16 AM):  shee i guess he does seem well rounded
ted (10:23:18 AM):  he might handle better cases when students get intoxicated
melany (10:23:36 AM):  i feel like he would be easily accessible, easy to talk to
ariel (10:23:39 AM):  yeah which we know happends alot freshmen year
ted (10:23:58 AM):  i like this guy
luke (10:24:19 AM):  do u guys think hes better than the first 2 we went over?
lynn (10:24:19 AM):  is this ra position specifically for this dorm, though/
ted (10:24:22 AM):  but the fact that he wants to work on empire
melany (10:24:40 AM):  thats weird
lynn (10:24:40 AM):  he seems better to me than jade
lynn (10:24:51 AM):  for an ra position
ted (10:25:21 AM):  he knows he is qualified that is why he wnats to be an ra in empire
ted (10:25:39 AM):  but that shows that he is not into helping but just into himself
judith (10:25:41 AM):  maybe he wants to live on empire
judith (10:25:48 AM):  so thats why is being specific
judith (10:26:00 AM):  he probably doesnt think living in one of the quads is worth the positiion
melany (10:26:07 AM):  i guess, i bet thats a high demand job
judith (10:26:09 AM):  or maybe he is confident in his abiltiies
luke (10:26:11 AM):  yeaa or he doesnt want to be bothered with freshman and sophmores lol
ted (10:26:26 AM):  there are not freshman in empire
ted (10:26:36 AM):  he is needed more in another dorms
melany (10:26:38 AM):  yeah
luke (10:26:57 AM):  yeaa thats why i said maybe thats why he wanted to do empire
ted (10:27:03 AM):  i will hire him and assign him to indian
lynn (10:27:34 AM):  that's just mean
ariel (10:27:36 AM):  it could be as simple as he likes empire better
melany (10:27:36 AM):  haha he would be mad
melany (10:27:41 AM):  he may not accept it
ariel (10:27:48 AM):  and the atmosphere suits him better
ariel (10:27:57 AM):  like for studying, or the freedom
ariel (10:27:59 AM):  who knows
luke (10:28:12 AM):  maybe
lynn (10:28:29 AM):  sorry....
lynn (10:28:47 AM):  i meant to say, i think i liked evan better
judith (10:29:40 AM):  yea, honestly as someone older i wouldnt want to be an RA on one of the quads
judith (10:29:45 AM):  but empire could be cool
ariel (10:30:42 AM):  eh... he is ok... spanish, cpr and first aid give him some props in my book but he doesnt seem as well rounded
melany (10:31:07 AM):  what do we think of evan?
lynn (10:31:15 AM):  he doesn't seem as narrow as far as ryan did in choice of where he ra's
melany (10:31:23 AM):  he took a public speaking course which is good
ted (10:31:24 AM):  i like his objective
lynn (10:31:52 AM):  i also liked that he worked at the bookstore, so he knows the campus pretty well and textbooks, etc.
lynn (10:31:57 AM):  that could be good for new students in the dorm
luke (10:31:58 AM):  yeaa hes more flexible hed work any of the sports they put him
ariel (10:32:01 AM):  i dont like him as much as Ryan
ted (10:32:07 AM):  that statement tells me that he wants to do some work and also get experience while doing it
judith (10:32:08 AM):  i dunno, im not that impressed
judith (10:32:14 AM):  nothing is sticking out very much to me
melany (10:32:16 AM):  thats a really strong objective
ted (10:32:17 AM):  very down to earth statement
luke (10:32:20 AM):  yea me neither
lynn (10:32:43 AM):  why?
ariel (10:32:53 AM):  the objective just sounds to me like a token look good statement
lynn (10:33:08 AM):  but he understands that those skills are important for an ra, which they are
lynn (10:33:16 AM):  better than just being in empire
ariel (10:33:18 AM):  yeah.. i guess
ted (10:33:33 AM):  exactly good point lynn
judith (10:33:43 AM):  i mean, i guess its good he did debate because there is logic and reasoning involved and his objective is good
melany (10:33:51 AM):  thats a good point lynn
lynn (10:33:55 AM):  he's going to ahve to settle disputes as an ra, too
lynn (10:34:09 AM):  possibly
ariel (10:34:24 AM):  can someone explain his address a bit
melany (10:34:26 AM):  hes a member of a business professional of america
ariel (10:34:26 AM):  im confused
melany (10:34:38 AM):  its good to be professional
lynn (10:34:43 AM):  she's from idaho
ariel (10:34:43 AM):  so? im a memeber of the price chopper saving club
judith (10:34:48 AM):  lol ditto
ariel (10:34:50 AM):  i dont think that makes a difference
luke (10:35:00 AM):  i guess he out his home address wheres hes originally from and not the one on campus
ariel (10:35:26 AM):  i dun know the Moscow is confusing
lynn (10:35:29 AM):  sorry, i meant *he's* from idaho
ariel (10:35:29 AM):  w/e
judith (10:35:49 AM):  yea he might not know the area
ariel (10:36:22 AM):  i just feel like he is very superficial
melany (10:36:34 AM):  all resumes are superficial thought
ted (10:36:36 AM):  it will be better if he was from new york
melany (10:36:39 AM):  though*
ariel (10:36:43 AM):  we need someone real, because being an RA is not like dealing with public speaking or business deals
ariel (10:36:59 AM):  this guy seems to business suit, cut and dry
ariel (10:37:21 AM):  nothing tells me he could deal with everyday life, like if a student got drunk really bad and needed to talk to someone in the morning
ted (10:37:24 AM):  i dont agree with ariel
melany (10:37:31 AM):  me either
lynn (10:37:52 AM):  which candidate do you feel is better at handling "everyday life" situations?
ariel (10:38:37 AM):  probably penny and ryan
judith (10:38:44 AM):  yea penny looked good
melany (10:39:01 AM):  what about sandra?
ariel (10:39:11 AM):  i havent looked at her yet
lynn (10:39:17 AM):  she seemed good, too
luke (10:39:24 AM):  yea
ariel (10:39:26 AM):  i thought u were the one that suggested we go in order
ariel (10:39:38 AM):  now your including people we have not covered
lynn (10:39:42 AM):  she worked as a camp counselor
lynn (10:39:49 AM):  which is good, for this position, i think
melany (10:40:01 AM):  sandra is next in order
lynn (10:40:04 AM):  sandra is the next person
judith (10:40:07 AM):  should we discuss sandra?
melany (10:40:27 AM):  yes
luke (10:40:39 AM):  yea
lynn (10:40:41 AM):  her camp counselor experience would be useful
melany (10:41:08 AM):  she doesnt have her college GPA
judith (10:41:10 AM):  and she used to be involved in outreach which is good
lynn (10:41:32 AM):  that's true, she doesn't list her gpa
melany (10:41:36 AM):  which we would need but i guess you could eventually find it out
lynn (10:41:36 AM):  for college
lynn (10:42:14 AM):  right, kind of curious that she listed it for high school and not college, though
melany (10:42:16 AM):  maybe her GPA isnt that string
melany (10:42:19 AM):  strong*
melany (10:42:21 AM):  for college
judith (10:42:25 AM):  i dont think thats that important
melany (10:42:32 AM):  as long as its above a 2.5
luke (10:42:38 AM):  yea i would think its atleas the minimum if shes applying
lynn (10:42:38 AM):  it's not really, except that there is a minimum required
melany (10:42:41 AM):  which is what is said is required
ted (10:42:46 AM):  she seemed to be very involved in activities during high school, but not as much during college
melany (10:42:55 AM):  yeah i think someone could not have a gpa and still be a great RA
ariel (10:43:05 AM):  i think so too
ariel (10:43:10 AM):  numbers arent everything
ariel (10:43:17 AM):  brb door
lynn (10:43:40 AM):  yes, i agree, but if it's a requirement, we have to abide by that as the hiring people, unless we change that requirement
judith (10:44:18 AM):  true i didnt know it was a requirement
luke (10:44:37 AM):  yea i guess theres not much we could really d o to find out
melany (10:44:41 AM):  i like that she participated in outreach programs
melany (10:44:47 AM):  through her church
lynn (10:44:53 AM):  she does seem interested in others
judith (10:45:22 AM):  yea i like her
melany (10:46:01 AM):  she seems like a good candidate
lynn (10:46:06 AM):  i like her, too
lynn (10:46:30 AM):  she's has a lot of psychology courses, ,which could be handy
melany (10:46:36 AM):  she's from PA so she could be assuring to those not from NY
lynn (10:46:52 AM):  that's a good point
ted (10:46:52 AM):  it seems she watns to help, not necesarily just looking at the free room
melany (10:46:55 AM):  and she knows of activities and how to organize them
melany (10:47:04 AM):  from her camp counselor experience
luke (10:47:17 AM):  yeaa that could help
lynn (10:48:13 AM):  can we eliminate anybody from consideration to start narrowing down?
ted (10:48:24 AM):  ok
melany (10:49:00 AM):  penny---keep or eliminate?
lynn (10:49:22 AM):  i'd vote for keep for now, though she wasn't my top choice
judith (10:49:32 AM):  i feel like they were all okayt...nobody stood out as amazing or horrible to me
melany (10:49:38 AM):  i know its hard to eliminate
luke (10:49:55 AM):  yeaa this ones tough i dont think that anyone is really taht much better than the others
melany (10:50:11 AM):  yeah hmm
lynn (10:50:37 AM):  i'd vote to eliminate jade at this point
lynn (10:50:56 AM):  just to start narrowing down
lynn (10:51:22 AM):  she's definitely smart, but i don't see that she has the people skills that others do
judith (10:52:00 AM):  i agree
ariel (10:52:07 AM):  yep i agree as well
judith (10:52:07 AM):  we have to eliminate someone lol
melany (10:52:27 AM):  i agree
ted (10:52:36 AM):  it is difficult to eliminate they all have similar pros and cons
judith (10:52:43 AM):  yea lol
ted (10:52:45 AM):  i can tell you i like evan though
luke (10:52:51 AM):  well i didnt think ryan had anything about him that he stood out
judith (10:52:52 AM):  yea i liked evan as well
lynn (10:53:05 AM):  i actually think evan is my top choice
ted (10:53:19 AM):  i did not like the guy that applied only for empire
ted (10:53:32 AM):  those are my two cents
melany (10:54:13 AM):  i didnt like evan that much
lynn (10:54:14 AM):  yes, that's ryan
melany (10:54:15 AM):  me either
luke (10:54:18 AM):  soo it kind of looks liek ryan is the weakest one so far
melany (10:54:21 AM):  ryan and evan r eliminated in my mind
ariel (10:54:52 AM):  my best vote is for Sandra
ted (10:55:03 AM):  melany, could you explain please?
melany (10:55:32 AM):  well ryan only wanted to be an RA at empire
melany (10:55:34 AM):  so that turned me off
lynn (10:55:38 AM):  me too
judith (10:55:43 AM):  i actually liked that
ted (10:55:44 AM):  agrreed
judith (10:55:45 AM):  it showed confidence
ariel (10:55:52 AM):  me too
judith (10:55:54 AM):  and not like he was just desperate to save money
ariel (10:56:07 AM):  true!
lynn (10:56:14 AM):  what didn't you like about evan, melany?
ariel (10:56:33 AM):  wow judith i had never even thought about that
melany (10:56:56 AM):  umm i think i would actually keep evan now that im looking @ his resume again
melany (10:57:04 AM):  spanish proficiency is good
lynn (10:57:14 AM):  but he wants free room and board at the most expensive dorm on campus, and ONLY there
lynn (10:57:21 AM):  yes, i liked the spanish proficiency too
lynn (10:57:28 AM):  and cpr experience
melany (10:57:31 AM):  yeah he obviously has alterior motives
judith (10:57:55 AM):  yea but that means he has enough confidence to get that room
judith (10:58:04 AM):  and his resume isnt some cut and paste document he sends out everywhere
luke (10:58:05 AM):  soo is there one person we could drop?
judith (10:58:10 AM):  he tailored it for the position which i like
ted (10:58:25 AM):  which is what i dont like
ted (10:58:43 AM):  about rich ddadys boy ryan
lynn (10:58:43 AM):  i think, luke, that we agreed to drop jade
melany (10:58:56 AM):  yes
judith (10:59:06 AM):  i think thats a smart move...if you send out the same resume to everyone u didnt take the time to think about the position
ariel (10:59:11 AM):  yeah but the fact that he has enough confidence and a voice to state his mind means he would do the same as an RA
luke (10:59:12 AM):  ookk thanks
lynn (10:59:22 AM):  but is the position specifically for empire?
melany (11:00:21 AM):  i dont believe so
ariel (11:00:28 AM):  no its not
lynn (11:00:44 AM):  he's choosing that himself, and in my opinion, he's taking his own liberties
ariel (11:01:01 AM):  but btw its not free for him to live on campus because he is an RA btw
ariel (11:01:15 AM):  its just a discount essentially
lynn (11:01:25 AM):  yes, i do realize that, but he wouldn't have to pay a very expensive room and board
ariel (11:01:40 AM):  anyway you cut it empire is expensive
ariel (11:01:45 AM):  i dont care discount or not
luke (11:01:47 AM):  yeaa it is
judith (11:01:50 AM):  true
ariel (11:01:52 AM):  i definatly dont have the money for it
ariel (11:02:26 AM):  i dont agree, yes he took a liberty but he also too an action
ted (11:02:31 AM):  neither does ryan
lynn (11:02:43 AM):  which is why if you could live there for free (or at a greatly reduced discount), it would be great. i agree with melany, it's an ulterior motive. at least he's being honest about it, htough
ariel (11:02:44 AM):  which is more then i can say for most people who just walk past things that happen in the dorms
judith (11:03:14 AM):  i like the confidence
melany (11:03:17 AM):  yeah at least hes being honest and straighforward
ariel (11:03:18 AM):  me too
ariel (11:03:38 AM):  besides whos to say if offered he wouldnt decide to take one of the other postitions
lynn (11:03:47 AM):  which is why i feel comfortable being straightforward in taking him out of consideration
luke (11:03:50 AM):  yeaa i guess u really never know
ariel (11:03:52 AM):  people aply for one job all the time and get hired by the same people to do something else
melany (11:04:14 AM):  maybe he thought u had to be specific
ted (11:04:18 AM):  what other positions you are talking about/
ariel (11:04:49 AM):  like if he thought u had to be specific as melany said
ariel (11:05:05 AM):  and yet was given a different spot then he choose
lynn (11:05:19 AM):  but that means he didn't read the job description very carefully
ted (11:05:32 AM):  he had something in mid
ted (11:05:38 AM):  mind sorry
melany (11:05:56 AM):  hmmm what a predicament
melany (11:06:08 AM):  its difficult to pinpoint what his intentions are
ted (11:06:25 AM):  he wanted empire specificallly
ariel (11:06:30 AM):  so you think he didnt read the job discription? what if he was just taking a liberty? and he did read it well
ariel (11:06:54 AM):  i mean hell suny needs to have RA's for everywhere
lynn (11:06:57 AM):  but then why would he specify? that's narrowing him down to the search committee
ariel (11:07:06 AM):  i dont see why taking him based on empire is a bad choice
judith (11:07:24 AM):  yea me neither
luke (11:07:24 AM):  i think that we need to just base it off their qualifications because we could talk about his intentions all we want to but we are never really going to know what it was based upon...
lynn (11:07:28 AM):  but why is it a good choice?
ariel (11:07:43 AM):  because i think he speaks his mind
ted (11:07:51 AM):  we ar trying to eliminate people and he is the next on my list
ariel (11:07:53 AM):  and i think that's the best for an RA
ted (11:08:10 AM):  not always
lynn (11:08:11 AM):  i don't agree that speaking your mind is best for an ra. you need to listen as an ra, not dictate
judith (11:09:13 AM):  i think u need both
ariel (11:09:20 AM):  sure this is true but i think his listening skills are implied from the other things on his resume
ted (11:09:51 AM):  we;; tjos doscissopms os mpt abpit pm;u ruam
judith (11:09:55 AM):  ??!
judith (11:09:56 AM):  lol
judith (11:09:57 AM):  what
luke (11:09:58 AM):  lol
ariel (11:10:07 AM):  was that english?
lynn (11:10:10 AM):  other people had good listening skills, and didn't narrow down their choice to one dorm only
lynn (11:10:15 AM):  lol....
ariel (11:10:24 AM):  lol your funny
ariel (11:10:27 AM):  but still
ted (11:10:32 AM):  sorry cat walked on my keyboard
judith (11:10:36 AM):  LOL
judith (11:10:40 AM):  im literally laughing out loud lol
lynn (11:10:49 AM):  why is the cat always the scapegoat??
lynn (11:10:51 AM):  lol
ariel (11:10:59 AM):  oh i see... ted thats why i have a spray bottle next to my computer
melany (11:11:14 AM):  hahahhaha
lynn (11:11:15 AM):  poor kitty...
ted (11:11:22 AM):  haha
melany (11:11:34 AM):  thats funy
melany (11:11:36 AM):  funny*
melany (11:12:02 AM):  so we need to start narrowing down and make a decision
ariel (11:12:03 AM):  poor kitty? i love my kitten... i feed her... i pet her... and i cuddle with her every night
melany (11:12:07 AM):  does anyone have a favorite?
ariel (11:12:15 AM):  but seriously for all that she cant stay off my key borad
ariel (11:12:17 AM):  *board
lynn (11:12:20 AM):  no, i know, i love my kitty too, but the spraying i meant....
ariel (11:12:28 AM):  sorry kitty's gotta get wet
lynn (11:12:40 AM):  yes, they sometimes do have to get wet
luke (11:12:42 AM):  lol yea it works
ariel (11:13:29 AM):  so anyway i just want to get this narrowed down a bit can everyone say their TOP pick so we know who we are eliminating?
lynn (11:13:57 AM):  evan is my top choice
ariel (11:14:04 AM):  ryan is mine
judith (11:14:21 AM):  evan id say
luke (11:14:24 AM):  i think i would pick evan too
ted (11:14:57 AM):  i would pick evan, then sandra
ariel (11:15:04 AM):  melany?
ariel (11:15:22 AM):  *poke*
melany (11:15:27 AM):  sorrry
melany (11:15:29 AM):  evan
ariel (11:15:34 AM):  bah
ariel (11:15:37 AM):  fine even it is
ariel (11:15:46 AM):  ok all done lol
luke (11:16:32 AM):  nicee
ted (11:16:44 AM):  well
ted (11:17:07 AM):  Evan, going once, going twice, ......
judith (11:17:11 AM):  evan!
lynn (11:17:13 AM):  sold
ariel (11:17:14 AM):  sold?
ted (11:17:21 AM):  hired?
lynn (11:17:54 AM):  well, we just have to choose the top candidate. the rest is up to them
melany (11:18:17 AM):  i agree with evan
melany (11:18:22 AM):  i agree on evan*
lynn (11:18:33 AM):  me too
ted (11:18:55 AM):  cool, i thought we were not going to concur
lynn (11:19:05 AM):  maybe we should have picked the cat
judith (11:19:12 AM):  hahaha
melany (11:19:13 AM):  hahaha
ariel (11:19:16 AM):  lol
ted (11:19:32 AM):  made us LAUGH
judith (11:19:38 AM):  i like that quality
lynn (11:19:42 AM):  good quality for an RA
ariel (11:19:43 AM):  i would still stash ryans number and call him on a date after
lynn (11:19:48 AM):  hehe
ted (11:20:00 AM):  go for it
ariel (11:20:21 AM):  i would except all this info is fake... but im saying if he were cute and i were interviewing lol
judith (11:20:34 AM):  hahaha
ted (11:21:17 AM):  yeah, lifeguard style... maybe some good looks
moderator (11:21:28 AM):  Hey guys! As we near the end, I'd like to remind everyone to fill out the survey before you leave.
luke (11:21:34 AM):  ookk
moderator (11:21:37 AM):  link
lynn (11:21:42 AM):  alright
moderator (11:21:54 AM):  Thanks and enjoy the remainder of your weekend!
ted (11:22:01 AM):  bye everyone
lynn (11:22:01 AM):  thanks, everyone!
lynn (11:22:06 AM):  bye
luke (11:22:49 AM):  byee
ariel (11:22:55 AM):  bye
melany (11:24:22 AM):  thanks
