moderator (10:00:54 AM):  Good morning!
jake (10:19:27 AM):  thats how you catch those badasses
julie (10:19:27 AM):  but clark is intelligent, who says he cant figure the same things
julie (10:19:45 AM):  and you dont have to be that clever when you work for alban police
julie (10:19:49 AM):  albany*
eva (10:19:50 AM):  you know, the more I look at the job description, the more I can see how all of the officer's were picked
josh (10:19:56 AM):  understanding the criminal mind is important but not that important
eva (10:20:00 AM):  because the community reltions task
eva (10:20:07 AM):  or the cultural background task
eva (10:20:14 AM):  or crime investigation
jake (10:20:17 AM):  communirty relations was not said in the description
eva (10:20:21 AM):  it is
eva (10:20:25 AM):  number 5
jake (10:20:37 AM):  oh isee. i stand corrected
eva (10:20:44 AM):  it's not a deal breaker, thse descriptions
eva (10:20:49 AM):  but....food for thought :-)
julie (10:20:51 AM):  yes all these candidates were probably picked for some reason
julie (10:21:01 AM):  lol thank you
caroline (10:21:12 AM):  maybe we should go through the points and see who fits each point
julie (10:21:13 AM):  to make us think
caroline (10:21:17 AM):  and consider whoever fits the most points
julie (10:21:25 AM):  good idea
cinthia (10:21:34 AM):  should someone keep a tally
julie (10:21:39 AM):  ok the first bullet
julie (10:21:41 AM):  i will
julie (10:21:55 AM):  Under general supervision, directs and leads subordinates in enforcing state and federal laws and local ordinances for the Albany PD.
eva (10:22:15 AM):  ...i think i need more info about the officers for that one
caroline (10:22:15 AM):  i vote clark for that
josh (10:22:19 AM):  most likely clark
cinthia (10:22:23 AM):  clark
rebecca (10:22:29 AM):  clark
jake (10:22:35 AM):  ditto
josh (10:22:38 AM):  but alan and dwight can fit too
josh (10:22:45 AM):  but clark is the best fit
julie (10:22:48 AM):  this is true
eva (10:23:05 AM):  does intelligence necessarily make the best manager?
caroline (10:23:13 AM):  it's hard to distinigush mental fitness from intelligence and presence of mind
moderator (10:23:19 AM):  Sorry to interrupt guys, but could you refresh your link page? I forgot to add one item to job desc.
josh (10:23:45 AM):  ok
eva (10:23:46 AM):  haha, Alan will ace that last requirement!
josh (10:23:59 AM):  still say clark
cinthia (10:24:12 AM):  haha
caroline (10:24:14 AM):  well the physical requirement makes a difference but it doesn't seem like all too much physical activity is required in the actual job
jake (10:24:19 AM):  alright guys lets focus. back to the first point
josh (10:24:33 AM):  clark
eva (10:24:33 AM):  i still don't think any of the info we have points to good managerial skills
julie (10:24:38 AM):  who agrees with clark?
eva (10:24:39 AM):  so that one might be moot
josh (10:24:45 AM):  i do
cinthia (10:24:49 AM):  me
julie (10:25:05 AM):  i do as well
jake (10:25:12 AM):  as well as I
caroline (10:25:19 AM):  i do too
julie (10:25:33 AM):  eva and rebecca?
eva (10:25:35 AM):  no vote
eva (10:25:39 AM):  i don't have enough information
julie (10:25:44 AM):  ok fair enough
eva (10:25:46 AM):  (i'm taking a management class right now, if that helps)
eva (10:25:51 AM):  (er
eva (10:25:59 AM):  it's why I can't decide)
julie (10:26:03 AM):  np
julie (10:26:12 AM):  well next point then
julie (10:26:20 AM):  Interprets policies and procedures to apply to law enforcement activities and situations
josh (10:26:37 AM):  clark
cinthia (10:26:42 AM):  ditto
caroline (10:26:43 AM):  dwight
rebecca (10:26:55 AM):  clark
jake (10:26:58 AM):  clark
cinthia (10:27:18 AM):  i can see how u said dwight caroline
caroline (10:27:24 AM):  i could go clark too though
julie (10:27:26 AM):  i think i choose dwight
eva (10:27:33 AM):  Clark
julie (10:27:43 AM):  it just makes the most sense
julie (10:27:50 AM):  .. to me
cinthia (10:28:16 AM):  how?
josh (10:28:23 AM):  understanding th criminal mind doesnt really have to do with that bullet
cinthia (10:28:25 AM):  i kinda see wat ur saying but dk how to word it
julie (10:28:33 AM):  sorry read it wrong
julie (10:28:36 AM):  im tired
julie (10:28:43 AM):  i go with clark
caroline (10:28:45 AM):  clark
jake (10:29:36 AM):  i think for dwight fitting this requirement is if you understand the criminal mind then youd understand which policies and procedures to apply as consequences for his actions
eva (10:30:00 AM):  good point
jake (10:30:08 AM):  kinda like a matter of "fitting" what punishment to use for him
julie (10:30:11 AM):  agreed
caroline (10:30:51 AM):  yes
julie (10:31:07 AM):  hmm
cinthia (10:31:22 AM):  but u dont really "fit" laws to apply to the criminals do u
cinthia (10:31:41 AM):  if they kill someone its murder blah blah
josh (10:31:52 AM):  understanding the criminal mind doesnt mean that you kno the policies n procedures
cinthia (10:31:53 AM):  if theyre insane thats another story that would deal more with dwight
jake (10:32:13 AM):  i think you do - just coz you killed a person dont mean they should get capital punishment... or how do you know how many years to give someone for raping
josh (10:32:21 AM):  dwight only really understands why criminals do what they do
josh (10:32:28 AM):  that all the description gives
caroline (10:32:39 AM):  i gess that's true
jake (10:32:54 AM):  i think if clark's intelligence is more specified - like what is he intelligent about, it would help us
julie (10:32:56 AM):  although i think understanding the criminal mind is important, i think it's a little more than what the bullet qualifies
josh (10:33:12 AM):  well im a criminal justice major and there is way to many different criteria for how a person gets sentenced
julie (10:33:30 AM):  i think he generally is all around intelligent, just catches on and understands quickly
josh (10:33:56 AM):  and that important because they can just teach you things
josh (10:34:04 AM):  so he would learn quicker
jake (10:34:06 AM):  well an argument for clark could be that for situations, if his intelligent to think quickly on his feet given the surpirse of the situation, then he would fit the requirement
caroline (10:34:26 AM):  yes absolutely
jake (10:34:34 AM):  that beinf said, i think i would go for clark
julie (10:34:35 AM):  yes good point
cinthia (10:34:41 AM):  yes
caroline (10:34:44 AM):  yes
julie (10:34:48 AM):  ok, does everyone agree?
julie (10:34:59 AM):  clark again?
jake (10:35:01 AM):  yup. clark is better than dwight for this one
rebecca (10:35:31 AM):  yep
caroline (10:35:35 AM):  yes
jake (10:36:21 AM):  so shall we move on to the next bullet?
julie (10:36:26 AM):  ok well i think most agreed on clark
julie (10:36:31 AM):  so next bullet
julie (10:36:34 AM):  Recommends commendation and disciplinary action.
eva (10:36:51 AM):  maybe Brent
jake (10:36:59 AM):  im between clark and dwight again for this one
caroline (10:37:10 AM):  clark, brent, dwight
josh (10:37:30 AM):  clark
cinthia (10:37:36 AM):  idk if id choose brent cuz hes gonna go easy on people
rebecca (10:37:36 AM):  this means for his subordinates right?
cinthia (10:37:41 AM):  i think so
josh (10:37:46 AM):  yea i think so too
rebecca (10:37:49 AM):  i agree with cinthia on brent
josh (10:38:04 AM):  so dwight doesnt really have anythin to do with this
rebecca (10:38:14 AM):  but idk if anyone else really jumps out at me for this
caroline (10:38:19 AM):  oh ok
julie (10:38:31 AM):  im thinking clark again
jake (10:38:39 AM):  i think this bullet requires both compassion and understanding of the criminal mind
julie (10:38:43 AM):  his qualities are just generally good
josh (10:38:59 AM):  also u dont want someone to be too caring and companionate cuz they may not really punish anyone
rebecca (10:39:08 AM):  if i had to choose someone i would say clark..
josh (10:39:12 AM):  so i go with clark
cinthia (10:39:17 AM):  me too
jake (10:39:19 AM):  coz you might be compassionate but how do you know that what youre proposing to correct his behavior is right for him
rebecca (10:39:40 AM):  thats what i was trying to say abt brent earlier when i said he might care too much
caroline (10:39:50 AM):  ok so clark
eva (10:39:58 AM):  i believe this is for the subordinates not criminals
eva (10:40:04 AM):  i was thinking about the commendations
julie (10:40:08 AM):  yes i believe so
rebecca (10:40:12 AM):  yep
cinthia (10:40:12 AM):  yeh it is
caroline (10:40:34 AM):  yes it is
rebecca (10:40:35 AM):  so like rewarding and reprimanding
josh (10:41:06 AM):  yea
julie (10:41:10 AM):  yes
jake (10:41:59 AM):  if that is the cse, id go for clark
caroline (10:42:08 AM):  clark
irene (10:42:15 AM):  hi sory
cinthia (10:42:16 AM):  clark
julie (10:42:21 AM):  i agree
jake (10:42:22 AM):  the "than the rest" part of his description says to me he is capable of being a leader
julie (10:43:12 AM):  does everyone agree?
jake (10:43:16 AM):  yes
rebecca (10:43:16 AM):  yep
jake (10:43:21 AM):  clark again
caroline (10:43:22 AM):  tes
caroline (10:43:26 AM):  yes*
irene (10:43:42 AM):  sorry my computer keeps locking up
josh (10:43:50 AM):  yup
cinthia (10:43:54 AM):  we might have to speed up a bit tho cuz we only have like 40 mins for the rest of them
julie (10:44:05 AM):  ok clark it is
julie (10:44:08 AM):  next
julie (10:44:11 AM):  Assists in development and implementation of policies and procedures.
cinthia (10:44:18 AM):  dwight
eva (10:44:22 AM):  Clark
jake (10:44:23 AM):  i think im for clark again
cinthia (10:44:38 AM):  development and implementaion
cinthia (10:44:44 AM):  thats what made me think of dwight
caroline (10:44:45 AM):  yes
rebecca (10:44:54 AM):  clark
cinthia (10:45:17 AM):  he undersstands why they do what they do...
caroline (10:45:17 AM):  i guess i can see dwight fitting this to
julie (10:45:29 AM):  hmm i think i might choose dwight for this one
irene (10:45:35 AM):  i think intelligence is priority
rebecca (10:45:39 AM):  idk policies and procedures is so general
caroline (10:45:45 AM):  i'm on the fence
rebecca (10:46:04 AM):  policies and procedures of law.. or for his subordinates
rebecca (10:46:11 AM):  it could go either way
josh (10:46:24 AM):  both
julie (10:46:27 AM):  yes
rebecca (10:46:50 AM):  but either way i think intelligence would be the most helpful
irene (10:46:50 AM):  well they're all good they just have one additional quality above the rest
irene (10:47:06 AM):  so i'm sure clark can do it all
cinthia (10:47:15 AM):  true
caroline (10:47:40 AM):  hah yea clark is like the super human
cinthia (10:47:40 AM):  how many tallys does each have julie
julie (10:47:41 AM):  but for this particular bullet i think dwight fits it best
irene (10:47:51 AM):  oh
julie (10:48:02 AM):  so far all clark
cinthia (10:48:12 AM):  haha
jake (10:48:12 AM):  where is the person who is a criminal justice major?
josh (10:48:25 AM):  that be me
jake (10:48:33 AM):  what is you take on this one josh?
julie (10:48:49 AM):  were probably just gunna choose clark, but might as well go through the bullets to waste time
irene (10:48:59 AM):  yeah
josh (10:49:08 AM):  heres my thing
josh (10:49:16 AM):  clark is the best by far
josh (10:49:42 AM):  dwight only shows that he understands criminals and what they do
josh (10:50:03 AM):  that is more of a psychology or criminal theory approach
jake (10:50:14 AM):  ya like he should be behind a desk
caroline (10:50:31 AM):  he's more of a detective
josh (10:50:36 AM):  or a crime scene investigator
irene (10:50:37 AM):  good point
josh (10:50:39 AM):  yea
jake (10:50:42 AM):  but not like will smith and martin lawrence in bad boys
irene (10:50:47 AM):  haha
eva (10:50:49 AM):  i wonder what would happen if it turned out that Clark is an asthmatic schizophrenic...
josh (10:50:50 AM):  no lol
julie (10:50:52 AM):  badass
jake (10:50:57 AM):  clark is the one they go to to get info
irene (10:51:14 AM):  he;s smart so he can handle any situation
julie (10:51:14 AM):  cause he's intelligent lol
eva (10:51:16 AM):  right..but what if he was sickly and not right in the head?
cinthia (10:51:24 AM):  haahh
eva (10:51:27 AM):  despite his intelligence?
irene (10:51:27 AM):  good point!
irene (10:51:32 AM):  a lot of people are smart but insane
cinthia (10:51:32 AM):  but lets assume that he doesnt have that
irene (10:51:33 AM):  haha
eva (10:51:33 AM):  he stil has to take the exam...poor clark
josh (10:51:44 AM):  its says he has presence of mind
julie (10:51:47 AM):  it says presence of mind
rebecca (10:51:47 AM):  "All of them have an excellent track record so far. "
irene (10:51:51 AM):  yeah
eva (10:51:54 AM):  i'm looking at the last bullet point
irene (10:51:56 AM):  so he hasn't gone schizo yet
julie (10:52:02 AM):  nope
josh (10:52:13 AM):  and none of these guys would be crazy cuz they are all police officers already
eva (10:52:15 AM):  should we assume that they are all in good physical shape and mental state?
rebecca (10:52:23 AM):  and if he doesnt pass though tests we'll have to move on to our next fav candidate
josh (10:52:33 AM):  they have to pretty much be
julie (10:52:43 AM):  ok lets focus
rebecca (10:52:51 AM):  well we definitely cant assume that one isn't for no reason
josh (10:52:53 AM):  u have to take those tests for each position u go for
julie (10:52:54 AM):  everyone choose clark for this bullet
jake (10:52:58 AM):  i say clark
rebecca (10:53:01 AM):  clark
irene (10:53:04 AM):  clark
cinthia (10:53:07 AM):  yes
josh (10:53:16 AM):  clark
julie (10:53:19 AM):  ok majority rules
julie (10:53:30 AM):  next: Exhibits good community relations by supporting and getting involved in community-oriented policing programs and activities and maintains those good relations by providing quality service.
rebecca (10:53:48 AM):  brent
irene (10:53:51 AM):  brent
cinthia (10:53:52 AM):  brent
eva (10:53:53 AM):  brent
julie (10:53:59 AM):  brent
jake (10:54:02 AM):  brent
josh (10:54:08 AM):  brent
irene (10:54:09 AM):  i feel like these are all obvious
julie (10:54:10 AM):  ok agreed lol
julie (10:54:15 AM):  next
julie (10:54:17 AM):  Effectively utilizes resources by assigning officers, their work and equipment to ensure the proper performance of police functions.
jake (10:54:25 AM):  clark
rebecca (10:54:26 AM):  clark
cinthia (10:54:32 AM):  clark
caroline (10:54:43 AM):  clark
josh (10:54:47 AM):  clark or alan
eva (10:55:10 AM):  clark
cinthia (10:55:12 AM):  yah alan is good i guess
josh (10:55:19 AM):  yea
josh (10:55:25 AM):  actually clark is better tho
jake (10:55:26 AM):  but clark is best
rebecca (10:55:27 AM):  alan would be second for me
caroline (10:55:28 AM):  but what does mental fitness meannnn
jake (10:55:45 AM):  like hes not crazy
julie (10:55:47 AM):  mentally prepared for anything?
josh (10:55:51 AM):  he can deal with situations...keep cool
caroline (10:55:57 AM):  oh ok
caroline (10:55:59 AM):  i like that
caroline (10:56:08 AM):  good interpretation
julie (10:56:14 AM):  ok well i think majority chooses clark
julie (10:56:16 AM):  NEXT
julie (10:56:18 AM):  Coordinates activities at crime scenes.
irene (10:56:18 AM):  hahha
caroline (10:56:34 AM):  what kind of activities
irene (10:56:41 AM):  so vague
rebecca (10:56:43 AM):  yea
josh (10:56:53 AM):  clark
rebecca (10:56:56 AM):  i think clark
irene (10:57:01 AM):  dwight or clark
jake (10:57:05 AM):  i guess like the procedures needed to be done at a secne
rebecca (10:57:08 AM):  because he can manage those like dwight
irene (10:57:32 AM):  i feel like if dwight understands the criminal he can figure out what ot od in a situation
cinthia (10:57:51 AM):  i feel like dwight would be more of like csi
jake (10:57:56 AM):  yaaaaa
rebecca (10:57:57 AM):  me too... but i feel like this position is part of the bigger picture
irene (10:58:03 AM):  good point
julie (10:58:09 AM):  yes agreed
caroline (10:58:15 AM):  yea i like "part of the bigger picture" that seems true
rebecca (10:58:56 AM):  because theres probably a lot of dwights working there... someone needs to manage them efficiently
jake (10:59:02 AM):  i just think dwight is for behind the desk type of guy. not the on the secne type of guy
cinthia (10:59:02 AM):  haha
cinthia (10:59:08 AM):  like in the office
irene (10:59:11 AM):  yeah true
jake (10:59:26 AM):  dwight works for clark
rebecca (10:59:28 AM):  yea i might think he shouldnt get the promotion bc of the office...
julie (10:59:30 AM):  haha i hope not
irene (10:59:31 AM):  hahah yes jake
jake (10:59:38 AM):  lol
caroline (10:59:39 AM):  yes lol
julie (11:00:13 AM):  ok so im guessing this one goes to clark again?
eva (11:00:16 AM):  i'm sorry...I've lost track of which bullet we are on
jake (11:00:24 AM):  yes - clark it is
julie (11:00:35 AM):  Coordinates activities at crime scenes.
irene (11:01:03 AM):  that's what we just did
julie (11:01:13 AM):  i vote clark... again
josh (11:01:17 AM):  clark
eva (11:01:23 AM):  ah thanx - clark
julie (11:01:31 AM):  but she forgot the topic
irene (11:01:34 AM):  arent we on next bullet
jake (11:01:37 AM):  good working pace people. on to the next one as jay z says
irene (11:01:39 AM):  oooo
julie (11:01:54 AM):  lol
julie (11:02:19 AM):  im just gunna give that to clark
julie (11:02:22 AM):  next
julie (11:02:29 AM):  Investigates crimes and performs or directs apprehension activities.
rebecca (11:02:40 AM):  dwight
caroline (11:02:49 AM):  yes
josh (11:03:02 AM):  could be either clark or dwight but ill go with dwight
irene (11:03:05 AM):  yeah
irene (11:03:08 AM):  dwight
caroline (11:03:17 AM):  dwight
cinthia (11:03:18 AM):  dwight
julie (11:03:26 AM):  i think i choose dwight as well
jake (11:03:34 AM):  well the "investigates" part is for dwight. but i dont think he could "preform" or "direct" - he might give recommendations but i dont know if he can "perform" or "direct"
irene (11:04:04 AM):  we're all assuming he can't
irene (11:04:06 AM):  but they
irene (11:04:07 AM):  e all equal
rebecca (11:04:11 AM):  we dont really know if any of them can
irene (11:04:13 AM):  true
josh (11:04:24 AM):  still dwight
cinthia (11:04:27 AM):  yep
irene (11:05:02 AM):  yah
jake (11:05:16 AM):  im just basing it on the assumption made earlier that dwight is for the office - so to me, clark is the one who would be best
cinthia (11:05:42 AM):  hahah sorry about that jake
josh (11:05:42 AM):  but dwight would be really good for csi type stuff
jake (11:05:46 AM):  as we go about these point, we have developed a conception about these people
cinthia (11:05:49 AM):  dwight is not dwight schrute
rebecca (11:06:01 AM):  hahah yea you might have to remind us a few times
julie (11:06:17 AM):  lol ok dwight?
caroline (11:06:21 AM):  D
josh (11:06:22 AM):  dwight
rebecca (11:06:26 AM):  dwight
irene (11:06:38 AM):  dwight
eva (11:06:40 AM):  claark
julie (11:07:00 AM):  majority rules
irene (11:07:03 AM):  haha
julie (11:07:04 AM):  dwight it is
julie (11:07:13 AM):  Interprets and implements laws on search and seizure.
josh (11:07:24 AM):  clark
rebecca (11:07:29 AM):  clark
cinthia (11:07:30 AM):  clark
jake (11:07:34 AM):  clark
caroline (11:07:43 AM):  clark
irene (11:07:44 AM):  clark
julie (11:07:49 AM):  that was easy lol
irene (11:08:04 AM):  mhm
julie (11:08:08 AM):  next
julie (11:08:10 AM):  Prepare for and testify in court if needed.
jake (11:08:13 AM):  clark
cinthia (11:08:21 AM):  clark
jake (11:08:26 AM):  altho dwight could be it too
rebecca (11:08:50 AM):  yea either clark or dwight...
irene (11:08:54 AM):  yeah
josh (11:08:54 AM):  yea
julie (11:09:21 AM):  i think i like dwight for this one
irene (11:09:25 AM):  ok
irene (11:09:31 AM):  im on the fence
irene (11:09:40 AM):  dwight then
cinthia (11:09:41 AM):  me too
julie (11:09:49 AM):  lol
cinthia (11:09:52 AM):  i actually think i like dwight
julie (11:10:08 AM):  any objections?
rebecca (11:10:08 AM):  i guess ill vote dwight
josh (11:10:15 AM):  dwight
caroline (11:10:22 AM):  dwight
eva (11:10:23 AM):  clark
julie (11:10:59 AM):  ok well ... majority rules again
julie (11:11:02 AM):  dwight it is
eva (11:11:04 AM):  lol
julie (11:11:10 AM):  lol
eva (11:11:11 AM):  you might as well not count my votes for the rest
julie (11:11:14 AM):  sorry
irene (11:11:20 AM):  lmao
eva (11:11:20 AM):  i don't think i watch enough CSI ^_^'
cinthia (11:11:47 AM):  great show
julie (11:11:48 AM):  well if it makes a difference, clark is clearly winning
eva (11:11:50 AM):  or any crime shows really ^_^'
cinthia (11:12:09 AM):  alright next criteria
julie (11:12:15 AM):  OK!
cinthia (11:12:16 AM):  we have 18 mins left
julie (11:12:17 AM):  Instructs on detection methods.
irene (11:12:28 AM):  um
jake (11:12:35 AM):  what is a detention method?
irene (11:12:39 AM):  idk lol
jake (11:12:43 AM):  detection
jake (11:12:46 AM):  where is josh?lol
rebecca (11:12:47 AM):  detection not detenyion
josh (11:13:02 AM):  right here
jake (11:13:10 AM):  what is a detection method?
josh (11:13:15 AM):  oo
josh (11:13:24 AM):  like a detective
irene (11:13:40 AM):  oh dwight
cinthia (11:13:42 AM):  like how to find drugs
jake (11:13:45 AM):  detective work to catch the person?
caroline (11:13:46 AM):  swight
caroline (11:13:48 AM):  dwight*
josh (11:14:05 AM):  i guess teach a class how to be a detective
josh (11:14:17 AM):  it can be either clark or dwight
caroline (11:14:21 AM):  definitely dwight
julie (11:14:22 AM):  i think dwight
jake (11:14:27 AM):  dwight
cinthia (11:14:29 AM):  me too
josh (11:14:30 AM):  id go dwight
rebecca (11:14:40 AM):  i thought it meant more like saying .. ok we should do this to figure out this case..
julie (11:15:09 AM):  dwight for the win
rebecca (11:15:12 AM):  i say dwight
josh (11:15:12 AM):  yea thats kinda what it means
julie (11:15:26 AM):  next topic
julie (11:15:28 AM):  Writes complete, concise and coherent reports for a variety of purposes and evaluates reports for continued investigations.
rebecca (11:15:42 AM):  clark
irene (11:15:43 AM):  clark
jake (11:15:44 AM):  im between clark and dwight
josh (11:15:47 AM):  clark
eva (11:16:00 AM):  clark
julie (11:16:20 AM):  so im guessing clark on this one
caroline (11:16:24 AM):  clark
julie (11:16:40 AM):  ok big winner!
julie (11:16:42 AM):  next
julie (11:17:03 AM):  Relate to and work effectively with people of diverse cultural, economic and ethnic backgrounds.
rebecca (11:17:11 AM):  brent
cinthia (11:17:16 AM):  brent
eva (11:17:17 AM):  brent
caroline (11:17:20 AM):  i was thinking brent
josh (11:17:22 AM):  brent
irene (11:17:24 AM):  brent
jake (11:17:41 AM):  ditto
julie (11:17:42 AM):  yea i agree
julie (11:17:50 AM):  ok brent wins that one
julie (11:18:00 AM):  were done!
rebecca (11:18:04 AM):  poor alan
irene (11:18:07 AM):  kik
irene (11:18:10 AM):  *lol
cinthia (11:18:14 AM):  :(
julie (11:18:17 AM):  lol
caroline (11:18:21 AM):  haha
rebecca (11:18:26 AM):  he would pass the tests!
irene (11:18:28 AM):  so...clark wins?
rebecca (11:18:32 AM):  yep
eva (11:18:38 AM):  just in time
jake (11:18:46 AM):  lol poor alannn
rebecca (11:18:50 AM):  does everyone agree clark?
cinthia (11:18:54 AM):  yep
irene (11:18:55 AM):  yeah
julie (11:18:55 AM):  final tally is: 8-Clark, 2-Brent, 3-Dwight
josh (11:18:55 AM):  yea
julie (11:19:04 AM):  CLARK WINS!
irene (11:19:09 AM):  CELEBRATION
rebecca (11:19:16 AM):  buttt some bullets could be more important than others....
irene (11:19:24 AM):  true
cinthia (11:19:27 AM):  good tally keepin skils julie
caroline (11:19:27 AM):  valid
josh (11:19:34 AM):  still clark tho
julie (11:19:37 AM):  thank you, i try
rebecca (11:19:41 AM):  yea i still say clark too
cinthia (11:19:47 AM):  me too
julie (11:19:54 AM):  overall clark was just superior
irene (11:20:09 AM):  indeed.
julie (11:20:51 AM):  well we have 10 mins
julie (11:21:01 AM):  ........
irene (11:21:04 AM):  lol
irene (11:21:41 AM):  what are the top 3 most important bullets
julie (11:22:06 AM):  i think everyone stopped caring
cinthia (11:22:11 AM):  i think they each r almost equally important
julie (11:22:41 AM):  i think they each play into each other though
cinthia (11:22:49 AM):  ya exactly
rebecca (11:22:55 AM):  hhmm
rebecca (11:23:10 AM):  yea wed need like another 30 minutes to discuss that at least
rebecca (11:23:13 AM):  lol
cinthia (11:23:18 AM):  u need to be able to accomplish one to understand the next'
julie (11:23:26 AM):  i agree
josh (11:23:30 AM):  they are all prety important
irene (11:23:51 AM):  yeah i guess youre right
jake (11:23:52 AM):  very efficient discussion guys
cinthia (11:24:03 AM):  best so far
eva (11:24:05 AM):  yes, thank you julie
