macy (18:32:12 PM):  Hello everyone
lynn (18:51:48 PM):  but i'm not sure it should be considered more heavily than crime or traffic
macy (18:51:53 PM):  i like chicago also so far
irene (18:52:05 PM):  i agree with lynn
meg (18:52:05 PM):  it's the 2nd largest public transit system in the US
lynn (18:52:11 PM):  i like chicago, too
melany (18:52:11 PM):  me too
lynn (18:52:22 PM):  lots of attractions in the summer
melany (18:52:27 PM):  very clean city
lynn (18:52:28 PM):  easy to get around
melany (18:52:29 PM):  supposbly
meg (18:52:49 PM):  Yeah, its a beautiful city
eva (18:52:52 PM):  just as a note - the reason why I consider diversity is because as a non-white person, I'm personally terrified of visiting a place like st. louis
eva (18:53:19 PM):  so it may be beautiful
meg (18:53:19 PM):  really? I thought st. louis was pretty diverse
eva (18:53:28 PM):  there are interesting myths that float around :-)
meg (18:53:35 PM):  yeah
macy (18:53:42 PM):  i dont know much about st. louis
eva (18:53:46 PM):  certain cultures are raised to believe that the midwest is unsafe for them
irene (18:53:48 PM):  i don't feel any different based on diversity of a town
eva (18:53:50 PM):  i know it's minor
meg (18:53:53 PM):  yeah
macy (18:53:57 PM):  i thought since it was a larger city it might be more open than some other missouri towns
irene (18:53:58 PM):  if it's all people outside of my race, i don't care as long as they don't care
irene (18:54:00 PM):  but that's just me
meg (18:54:03 PM):  no i understand what you mean
melany (18:54:07 PM):  i dont know much about st louis
irene (18:54:28 PM):  but eva i'm sure other people feel the same way
lynn (18:54:32 PM):  my sister lived in st. louis for a few years, and it seemed pretty diverse when i visited her, but of course, we didn't visit everywhere
eva (18:54:47 PM):  well, let's see...we've talked about traffic, construction, diversity
eva (18:54:50 PM):  anything else?
lynn (18:55:02 PM):  crime
macy (18:55:09 PM):  govt support
meg (18:55:11 PM):  money devoted to the olympic buildings
melany (18:55:13 PM):  which has the worst crime?
eva (18:55:19 PM):  that's debatable
eva (18:55:23 PM):  that one
lynn (18:55:23 PM):  probably la, don't you think?
eva (18:55:29 PM):  not necessarily
eva (18:55:34 PM):  maybe Google it?
irene (18:55:43 PM):  i think atlanta has bad crime rates
meg (18:55:45 PM):  chicago has the most set aside- $12 between the housing and building of a place
irene (18:55:46 PM):  but i'm really not sure
macy (18:55:48 PM):  link
meg (18:55:49 PM):  atlanta's really bad
lynn (18:55:54 PM):  i've heard that too about atlanta
melany (18:56:03 PM):  ive heard that as well
irene (18:56:04 PM):  i really think since all of the other places had olympics, chicago should hgave a chance
melany (18:56:09 PM):  me too
melany (18:56:14 PM):  and its suposed to be beautiful
meg (18:56:17 PM):  I agree
lynn (18:56:17 PM):  and they didn't win their *real* bid :)
melany (18:56:17 PM):  and alot of people visit it
lynn (18:56:26 PM):  and it's really easy to get to
melany (18:56:39 PM):  yes it is thats true
macy (18:56:40 PM):  i like the idea of chicago since it has a good transportation system and is used to sporting events
melany (18:56:51 PM):  yes transportation is important
macy (18:56:52 PM):  middle of the country
meg (18:57:02 PM):  it's not really the middle lol
macy (18:57:10 PM):  well ok :)
meg (18:57:13 PM):  :-P
melany (18:57:17 PM):  haha i thought it was the middle too
macy (18:57:18 PM):  moreso than CA
melany (18:57:20 PM):  my bad
macy (18:57:20 PM):  hehe
meg (18:57:25 PM):  it's a 3 day drive from CA
lynn (18:57:27 PM):  i'm leaning towards chicago and st. louis
eva (18:57:28 PM):  i think...I wouldn't vote for LA or Atlanta
meg (18:57:29 PM):  but I agree
meg (18:57:38 PM):  its closer to the middle than CA or GA
macy (18:57:55 PM):  so location could be a factor
melany (18:57:55 PM):  true
melany (18:58:06 PM):  it's kinda significant to be the most centrally located as well
macy (18:58:16 PM):  our current prez is from there- that would be cool
melany (18:58:21 PM):  oh good point
lynn (18:58:23 PM):  what about the time difference thing?
eva (18:58:27 PM):  pretty good
lynn (18:58:28 PM):  yes, true macy
eva (18:58:30 PM):  easy for broadcast
macy (18:58:37 PM):  eh time in regular olpympis is never an issue
lynn (18:58:38 PM):  yes, it's not east coast or west coast
melany (18:58:41 PM):  true
lynn (18:58:46 PM):  well, in this vancouver olympics it is
lynn (18:58:56 PM):  for people on the west coast, ,they are irritated they can't watch in real time
eva (18:59:05 PM):  hrmmm
macy (18:59:05 PM):  but with the internet....we can see everything over and over again
meg (18:59:08 PM):  yeah it kind of sucks
eva (18:59:14 PM):  they do broadcast in real time
lynn (18:59:15 PM):  i think they did that so that worldwide it could be watched at a more normal time elsewhere
eva (18:59:18 PM):  just weird hours
melany (18:59:23 PM):  yes i have a olmpic app on my ipod touch haha
irene (18:59:27 PM):  that's cool
lynn (18:59:27 PM):  not on the west coast it wasn't in real time
macy (18:59:30 PM):  yeah tough to always watch everything you want to watrch
lynn (18:59:43 PM):  at least in calif
macy (18:59:46 PM):  but in us with just 3 hrs- they could better schedule events
melany (18:59:51 PM):  i agree
eva (18:59:53 PM):  strange...east coast gets live broadcast
lynn (18:59:56 PM):  yes, that may not be an issue with jsut 3 hours
macy (18:59:58 PM):  pay closer attention than in international olpympics
eva (18:59:59 PM):  but central time is good
lynn (19:00:13 PM):  yes, i think the fact that it's central time is really good
melany (19:00:41 PM):  me too
eva (19:00:48 PM):  hrmm speaking of the president...maybe he'd attend? :-D
meg (19:00:59 PM):  Probably!
melany (19:01:00 PM):  of course
irene (19:01:01 PM):  he should if there's an olympics being hosted here
eva (19:01:06 PM):  that's a nice element
melany (19:01:16 PM):  it would probably be bizarre if he wasnt there
irene (19:01:17 PM):  although the security needs to be even tighter then
macy (19:01:19 PM):  i like that too- he would def visit
melany (19:01:20 PM):  being that its only US
meg (19:01:25 PM):  I think if we have narrowed it down to st. louis and chicago we should weigh the perks for them
melany (19:01:31 PM):  good idea
irene (19:01:32 PM):  yeah
macy (19:01:36 PM):  sure
lynn (19:01:37 PM):  but he'd probably go anywhere in the US
meg (19:01:43 PM):  I think st louis could use the economic influx
lynn (19:01:44 PM):  sounds good, meg
macy (19:01:44 PM):  true lynn
melany (19:02:03 PM):  The city in 2006 was listed as having the ninth worst traffic commutes in the country
melany (19:02:08 PM):  for ST louis
melany (19:02:12 PM):  that could be a problem
eva (19:02:15 PM):  this is silly of me...but I forgot that St. Louis has good bbq
irene (19:02:19 PM):  hahah
eva (19:02:22 PM):  sort of a cult thing for people :-)
meg (19:02:27 PM):  oh its soooo true!
melany (19:02:29 PM):  haha gotta love it
lynn (19:02:30 PM):  did anybody read that forbes magainze article that said st. louis was one of the most 10 miserable cities right now?
melany (19:02:35 PM):  omg
melany (19:02:37 PM):  thats terrible
melany (19:02:38 PM):  hahha
irene (19:02:38 PM):  oh wow
lynn (19:02:41 PM):  maybe this would help
irene (19:02:43 PM):  yeah
meg (19:02:45 PM):  uhhh boo
macy (19:02:45 PM):  why? unemployment?
irene (19:02:46 PM):  i was just about to say that lynn
meg (19:02:55 PM):  yeah the unemployment rate is really bad
eva (19:03:00 PM):  hrmmm
eva (19:03:01 PM):  Forbes magazine ranked St. Louis No. 4 on its "Most Affordable Places To Live Well" list in November 2007, which rated cities according to housing affordability, cost of living, quality of life, and best arts and leisure offerings.
meg (19:03:04 PM):  my cousin is there doing teach for america
irene (19:03:12 PM):  cool
melany (19:03:13 PM):  oh really? how does she like it?
lynn (19:03:15 PM):  can't quite remember, i think it was unemployment, pollution, and a few other things
macy (19:03:24 PM):  i hadnt read about that
meg (19:03:33 PM):  he loves it, but he says its a little depressing with all the problems of unemployment
eva (19:03:35 PM):  so it changed in just 2-3 years?
eva (19:03:42 PM):  at least according to Forbes?
melany (19:03:45 PM):  oh thats understandable
lynn (19:03:49 PM):  a lot changed in a lot of places the past 2 years
macy (19:03:52 PM):  maybe they need a boost in economny, but could they afford to make changes needed for a big event?
eva (19:04:00 PM):  it would generate jobs
eva (19:04:04 PM):  at least temporarily
lynn (19:04:04 PM):  it would provide work to get ready for it
irene (19:04:05 PM):  what kind of jobs
melany (19:04:07 PM):  perhaps with goverment support
lynn (19:04:09 PM):  right
macy (19:04:10 PM):  good point
macy (19:04:13 PM):  construction
meg (19:04:14 PM):  construction jobs
macy (19:04:20 PM):  vendors
lynn (19:04:24 PM):  and hospitality jobs when people come
eva (19:04:25 PM):  publicity
macy (19:04:30 PM):  hotel staff
melany (19:04:31 PM):  lots of hospitality jobs
meg (19:04:31 PM):  and temp employment in working the olympic village
melany (19:04:37 PM):  hospitality would skyrocket
eva (19:04:39 PM):  security
melany (19:04:42 PM):  and thats easy to train people in
macy (19:05:02 PM):  good point to bring up about st.l
irene (19:05:05 PM):  these are good points
meg (19:05:08 PM):  yeah
lynn (19:05:13 PM):  i agree
melany (19:05:19 PM):  me too
meg (19:05:40 PM):  I think that chicago is a pretty right city, in terms of culture and lack of problems that st louis has but I think st louis could use the economic burst
macy (19:05:48 PM):  and its real close to chicago so still the middle of the country.....
melany (19:05:51 PM):  did we eliminate atlanta?
meg (19:05:54 PM):  *by right i mean rich
meg (19:05:56 PM):  lol
eva (19:05:59 PM):  kinda eliminated atlanta
meg (19:06:05 PM):  yeah
lynn (19:06:07 PM):  yes, i think so
meg (19:06:15 PM):  atlanta- too far and bad crime/traffic
melany (19:06:23 PM):  sounds bad
meg (19:06:26 PM):  as well as pollution
macy (19:06:39 PM):  yeah atlanta out (for '11) : )
melany (19:06:52 PM):  although it seems so up and coming on that show real housewives of atlanta haha
macy (19:06:56 PM):  hahaha
lynn (19:06:56 PM):  hehe
melany (19:06:56 PM):  idk if anyone has seen it
eva (19:06:57 PM):  :-)
macy (19:06:58 PM):  love that show
meg (19:07:01 PM):  hahha
irene (19:07:05 PM):  i've never watched it
melany (19:07:10 PM):  hahha its hilarious
meg (19:07:19 PM):  i've only seen the ones in orange county and nyc
meg (19:07:20 PM):  hahaha
macy (19:07:27 PM):  but they are a certain group of people in that region (meaning well off)
macy (19:07:29 PM):  lol
melany (19:07:50 PM):  yeah and they are the least classy people ive ever seen haha
macy (19:07:56 PM):  true
melany (19:07:59 PM):  not a good sign
macy (19:08:01 PM):  so no to atlanta?
melany (19:08:04 PM):  if thats what the elite are like
melany (19:08:07 PM):  i think so
lynn (19:08:07 PM):  yes, i thik so
lynn (19:08:09 PM):  think
meg (19:08:10 PM):  i concur
eva (19:08:14 PM):  no atlanta for me
meg (19:08:15 PM):  atlanta down
macy (19:08:22 PM):  and LA is also out?
melany (19:08:22 PM):  gooodbyeee atlanta and LA
macy (19:08:26 PM):  ok
lynn (19:08:33 PM):  yes, think LA is def out i think
eva (19:08:39 PM):  i'm starting to lean towards Chicago 
macy (19:08:43 PM):  battle of st. louis and c hicaog
meg (19:08:54 PM):  I vote st. louis
melany (19:08:55 PM):  i think chicago is the best choice
meg (19:08:56 PM):  lol
macy (19:08:57 PM):  that ok eva- why?
lynn (19:08:57 PM):  i like chicago, but i'm kind of thinking st. louis could use the boost
irene (19:09:07 PM):  it already had hte olympics
irene (19:09:14 PM):  i know i keep making htat point
macy (19:09:17 PM):  which one already had?
meg (19:09:19 PM):  yeah but that was a long time ago
irene (19:09:19 PM):  but that's what's most weighing my opinion
irene (19:09:28 PM):  actually
irene (19:09:29 PM):  that was 1904
irene (19:09:33 PM):  so i guess this is more recent
melany (19:09:38 PM):  yeah true
irene (19:09:38 PM):  okay then i'm on the border haha
eva (19:09:42 PM):  Chicago just feels more accessible
eva (19:09:50 PM):  air transport is good
melany (19:09:50 PM):  i agree eva
lynn (19:09:51 PM):  it probably is more accessible
macy (19:10:05 PM):  i like the idea that chicago ahs never hosted, but i also like the idea of the economy reasons for st. louis
macy (19:10:29 PM):  what are other factors- transportation so chicago would rank higher?
lynn (19:10:41 PM):  i think chicago def has better public trasnport
meg (19:10:47 PM):  I think the climate in st louis is better
macy (19:11:02 PM):  safety, accomodation
irene (19:11:03 PM):  isn't it indoors?
eva (19:11:17 PM):  it's similar enough in climate
eva (19:11:21 PM):  according to the info
melany (19:11:24 PM):  its warmer slighlty in st louis
macy (19:11:24 PM):  summer olympics are both out and indoors
irene (19:11:28 PM):  ohh
irene (19:11:30 PM):  hah
irene (19:11:35 PM):  that might've been obvious but i didn't know
macy (19:11:38 PM):  lol
macy (19:11:56 PM):  ok what are some other factors we might consider
melany (19:12:16 PM):  population?
melany (19:12:18 PM):  idk
melany (19:12:18 PM):  haha
macy (19:12:24 PM):  public opinion or govt support an issue at all?
lynn (19:12:32 PM):  public opinion should be
macy (19:12:39 PM):  i cant think of other things not on the posted list.
meg (19:12:40 PM):  publicopinion should definitely be
lynn (19:12:43 PM):  i mean, local
eva (19:12:43 PM):  chicago is at 90 %
meg (19:12:52 PM):  st louis is at 91%
melany (19:12:56 PM):  hmm
melany (19:13:01 PM):  they are so slight in difference
eva (19:13:14 PM):  chicago has a smaller budget not including facilities
lynn (19:13:15 PM):  how about the number of hotel rooms in teh city
macy (19:13:29 PM):  link just food for thought
melany (19:13:30 PM):  i feel like chicago would have more
melany (19:13:38 PM):  but thats just my intuition
lynn (19:13:38 PM):  i do, ,too
irene (19:13:42 PM):  good link
lynn (19:13:48 PM):  but i'm guessing, too
eva (19:13:48 PM):  this is just the website info
eva (19:13:54 PM):  that we were given
meg (19:13:59 PM):  I don't know, I think st louis is really good for sports too
meg (19:14:07 PM):  "best sports city" in 2000
irene (19:14:12 PM):  that's good
melany (19:14:13 PM):  oh wow
melany (19:14:16 PM):  thats interesting
irene (19:14:17 PM):  but who's best sports city in 2010
irene (19:14:18 PM):  or 2009
macy (19:14:20 PM):  Originally awarded to Chicago, but moved to St. Louis to coincide with the World's Fair.[5
meg (19:14:35 PM):  wow that's funny
macy (19:14:36 PM):  so chicago ALMOST had the olympics Interesting!
melany (19:14:55 PM):  i feel bad they ALMOST had it
melany (19:14:56 PM):  that stinks
eva (19:15:19 PM):  heheh
macy (19:15:58 PM):  link/
melany (19:16:00 PM):  where would everyone want to go the most, all information aside?
meg (19:16:04 PM):  so if we voted now, what would you guys choose?
macy (19:16:04 PM):  reasons why Miama will NOT host
irene (19:16:16 PM):  all info aside i'd like to go to la
irene (19:16:23 PM):  because i want to go ot california
eva (19:16:27 PM):  hahahahah
irene (19:16:28 PM):  but that's just my opinion
lynn (19:16:33 PM):  i'm leaning towards st. louis
eva (19:16:33 PM):  the tourist factor wins!
melany (19:16:35 PM):  yeah its a cool place to se
melany (19:16:37 PM):  see*
meg (19:16:39 PM):  I'd choose chicago to visit, but I'd like to have st louis win
macy (19:16:41 PM):  public transportation seems like a big reason
irene (19:16:42 PM):  haha that's a good link
meg (19:16:51 PM):  its only because i've never been to chicago for a long period
meg (19:16:52 PM):  lol
macy (19:16:53 PM):  i'm going with chicago
melany (19:17:00 PM):  i vote chicago
meg (19:17:30 PM):  i vote st louis
lynn (19:17:41 PM):  i vote st. louis too
macy (19:17:46 PM):  link
meg (19:17:50 PM):  we have to come to a consensus
macy (19:18:06 PM):  i'm just trying to find some things online to give us new thoughts- hope you dont mind
meg (19:18:12 PM):  no its ok
melany (19:18:26 PM):  thanks for the help!
eva (19:18:27 PM):  it's helpful
macy (19:18:29 PM):  Commercial development can seemingly substantially from retail consumptions. The Olympic games will bring in extra retail sales to the local. Positive effects of retail sales will be more obvious when it's
macy (19:18:42 PM):  good reason for St. Louis
lynn (19:18:49 PM):  that's why i'm leaning towards it
irene (19:18:54 PM):  these chats make it hard to talk for the whole time
irene (19:19:03 PM):  so i think it's far enough if we slightly go off topic
irene (19:19:12 PM):  it's not like we're talking about tv shows
macy (19:19:16 PM):  that was my reason earlier until i learned chicago lost out- economics is much more important though, especially now and in the next year or two
meg (19:19:17 PM):  yeah
melany (19:19:28 PM):  thats true
melany (19:19:46 PM):  economics are suffering all over
eva (19:19:48 PM):  hrmmm - Chicago just reduced its public transit
macy (19:19:55 PM):  really?
melany (19:19:58 PM):  might as well help out the places that need the most help
eva (19:20:12 PM):  link
lynn (19:20:21 PM):  has anybody here ever been to an olympics,just curious
macy (19:20:30 PM):  no
eva (19:20:36 PM):  just an olympic vilage
lynn (19:20:42 PM):  oh cool
eva (19:20:53 PM):  it wasn't in operation tho
macy (19:20:54 PM):  i'd LOVE to go though
eva (19:20:58 PM):  so it's not the same
irene (19:21:08 PM):  you guys are finding great links
lynn (19:21:23 PM):  i asked just because i wonder if other attractions might be a distraction rather than a good thing
meg (19:21:25 PM):  link
meg (19:21:43 PM):  I haven't beed
meg (19:21:45 PM):  *beed
meg (19:21:47 PM):  *been
melany (19:21:48 PM):  me either
meg (19:21:48 PM):  wow
meg (19:21:53 PM):  I'm good at typing lol
macy (19:22:02 PM):  end of the long week meg- its ok
meg (19:22:19 PM):  thanks
meg (19:22:21 PM):  :)
macy (19:22:24 PM):  long even though i had a day off monday- lol
meg (19:22:40 PM):  yeah, days off for me just mean catch-up work
melany (19:22:40 PM):  hahha today was a short week but felt so long
macy (19:22:47 PM):  So shall we vote again since we are running out of factors to consider?
lynn (19:22:52 PM):  sure
melany (19:22:57 PM):  this week*
irene (19:22:59 PM):  hmm
macy (19:23:00 PM):  state your vote....
irene (19:23:02 PM):  i'm indifferent
irene (19:23:08 PM):  the top two were good to me
lynn (19:23:08 PM):  stst. louis
meg (19:23:08 PM):  I'm for st louis still
macy (19:23:10 PM):  st. louis
melany (19:23:19 PM):  st louis
eva (19:23:30 PM):  chicago
